headline_main,pub_date,lead_paragraph,Compound_Score
‘Oof’: Sam Bankman-Fried’s Trial Reveals Inside Details of How FTX Died,2023-10-20T09:03:32+0000,,-0.5574
Read the transcript of text between FTX executives,2023-10-19T22:07:58+0000,,0.0
Read the transcript of FTX executives’ text exchanges,2023-10-19T22:07:50+0000,,0.0
Read the exchange among FTX and Alameda executives,2023-10-19T22:10:32+0000,,0.0
Top FTX Executive Says Sam Bankman-Fried Used Customer Money for ‘Excess’ Spending,2023-10-16T17:27:52+0000,,0.2023
Crypto’s Trial of the Century Is Set to Begin,2023-10-02T12:06:39+0000,,0.0
"Crypto Goes on Trial, as Sam Bankman-Fried Faces His Reckoning",2023-10-02T09:00:46+0000,,0.0
"Across U.S., Chinese Bitcoin Mines Draw National Security Scrutiny",2023-10-13T09:02:11+0000,,0.34
Star Witness Caroline Ellison Says Sam Bankman-Fried Made ‘Terrible Mistakes’,2023-10-12T20:51:27+0000,,0.0
Sam Bankman-Fried’s Closest Friends Become His Foes in Courtroom Clash,2023-10-12T09:02:06+0000,,0.0258
Caroline Ellison Says She and Sam Bankman-Fried Lied for Years,2023-10-11T17:26:59+0000,,-0.3818
"Caroline Ellison, Adviser to Sam Bankman-Fried, Says He ‘Directed’ Her to Commit Crimes",2023-10-10T17:27:19+0000,,0.296
The Places That Sam Bankman-Fried Left Behind,2023-10-10T09:02:41+0000,,0.0
‘Don’t Do That Again’: Sam Bankman-Fried’s Lawyers Under Fire From Judge,2023-10-10T09:02:56+0000,,-0.34
A Founder of the Crypto Hedge Fund Three Arrows Capital Is Arrested,2023-09-29T17:53:24+0000,,-0.4767
Who’s Rooting Hardest for a Sam Bankman-Fried Conviction? The Crypto Industry.,2023-10-02T09:00:57+0000,,0.0
FTX Chief Once Met With Powell. Now D.C. Crypto Lobbyists Are Struggling.,2023-09-27T09:02:38+0000,,-0.4215
"The Big Number: 1,300",2023-10-06T16:42:55+0000,,0.0772
"Gary Wang, an FTX Founder, Says Sam Bankman-Fried Steered Misuse of Funds",2023-10-06T18:18:04+0000,,0.0
Michael Lewis Doesn’t Do Villains,2023-10-06T15:18:54+0000,,-0.6597
New Details About FTX Emerge as Bankman-Fried’s Trial Begins,2023-10-05T12:07:09+0000,,0.0
‘Lied to the World’ or Acted in ‘Good Faith’: Sam Bankman-Fried’s Trial Opens,2023-10-04T19:18:46+0000,,0.0
Sam Bankman-Fried Goes on Trial,2023-10-03T10:00:02+0000,,0.0
What to Know About Sam Bankman-Fried’s Fraud Trial,2023-10-03T13:10:09+0000,,-0.5859
"Today’s Top News: Gaetz Moves to Oust McCarthy, and More",2023-10-03T09:45:10+0000,,0.2023
Even Michael Lewis Can’t Make a Hero Out of Sam Bankman-Fried,2023-10-02T23:41:14+0000,,0.5574
Takeaways From a New Book on Sam Bankman-Fried,2023-10-03T00:08:53+0000,,0.0
The Lawyers Sam Bankman-Fried Once Trusted Are Drawing Criticism,2023-09-21T09:00:59+0000,,0.0516
A $700 Million Bonanza for the Winners of Crypto’s Collapse: Lawyers,2023-09-05T09:01:04+0000,,-0.0258
Sam Bankman-Fried’s Parents Sued by FTX,2023-09-19T08:14:41+0000,,0.0
‘One of the Most Hated People in the World’: Sam Bankman-Fried’s 250 Pages of Justifications,2023-09-14T21:09:16+0000,,-0.6697
Crypto Is Dead? Or Is That Just ‘Fud’?,2023-08-25T09:03:27+0000,,-0.6868
Fourth Top FTX Executive Pleads Guilty Ahead of Sam Bankman-Fried Trial,2023-09-07T14:56:09+0000,,-0.25
"Bread, Water and Peanut Butter: Sam Bankman-Fried’s Life in Jail",2023-09-05T21:31:11+0000,,0.0
Letter to a Young Crypto Enthusiast (or the Merely Curious),2023-08-13T09:00:41+0000,,0.3612
The Paranoid Style in American Plutocrats,2023-08-28T23:00:10+0000,,-0.25
Crypto’s Next Craze? Orbs That Scan Your Eyeballs.,2023-08-07T15:05:19+0000,,-0.1531
Prosecutors Detail Evidence Against Sam Bankman-Fried,2023-08-15T00:35:13+0000,,0.0
Investor Charged With Kidnapping ‘Crypto King’,2023-07-20T13:02:04+0000,,-0.2023
Sam Bankman-Fried Sent to Jail After Judge Revokes Bail,2023-08-11T19:31:19+0000,,0.0
Founder of Bankrupt Crypto Firm Celsius Is Arrested on Fraud Charges,2023-07-13T15:10:01+0000,,-0.9118
Crypto Industry Secures Early Victory in Legal Battle With Regulators,2023-07-13T19:28:19+0000,,0.0516
F.B.I. Searched the Home of Crypto Exchange Founder,2023-07-06T22:14:55+0000,,0.0
"Inside the Private Writings of Caroline Ellison, Star Witness in the FTX Case",2023-07-20T09:00:34+0000,,0.0
How Tom Brady’s Crypto Ambitions Collided With Reality,2023-07-06T09:00:56+0000,,0.0
How a Crypto Fugitive Upended the Politics of a Troubled Balkan Nation,2023-06-24T15:38:27+0000,,-0.4588
Their Crypto Company Collapsed. They Went to Bali.,2023-06-09T15:06:47+0000,,-0.2732
Prosecutors Drop Campaign Finance Charge Against Sam Bankman-Fried,2023-07-27T13:07:50+0000,,-0.2732
Crypto Firms Start Looking Abroad as U.S. Cracks Down,2023-06-07T09:00:26+0000,,0.0
"Crypto Meltdown, What Crypto Meltdown?",2023-01-17T08:00:13+0000,,0.0
Coinbase Accused of Breaking Market Rules as Crypto Crackdown Widens,2023-06-06T12:51:24+0000,,-0.296
Crypto Wants Its Shine Back,2023-03-20T09:00:15+0000,,0.0
Crypto ads are so last year.,2023-02-12T23:46:43+0000,,0.0
2 Charged in Plot to Launder Billions in Cryptocurrency Reach Plea Deal,2023-07-21T18:08:50+0000,,-0.1779
He Went After Crypto Companies. Then Someone Came After Him.,2023-06-18T09:00:36+0000,,0.0
The Crypto Detectives Are Cleaning Up,2023-04-22T09:00:28+0000,,0.0
